 temp:	  etot:	  ekin:	  epot:
   2526.804    	  -854.9048    	   60.01329    	  -914.9181    	   70.74181    
   2511.583    	  -852.7896    	   59.65129    	  -912.4409    	   70.86903    
   2513.547    	  -854.2810    	   59.69844    	  -913.9794    	   70.81211    
   2506.658    	  -856.0081    	   59.53482    	  -915.5428    	   70.69862    
   2502.881    	  -856.2518    	   59.44512    	  -915.6970    	   71.01026    
   2484.177    	  -852.3072    	   59.00039    	  -911.3076    	   70.85400    
   2486.913    	  -856.9013    	   59.06538    	  -915.9667    	   70.76883    
   2487.170    	  -858.5773    	   59.07196    	  -917.6493    	   70.76865    
   2478.973    	  -858.2303    	   58.87680    	  -917.1072    	   70.65535    
   2477.711    	  -859.4117    	   58.84731    	  -918.2590    	   70.85334    
   2465.232    	  -857.5847    	   58.55045    	  -916.1352    	   70.83890    
   2463.567    	  -860.4176    	   58.51091    	  -918.9285    	   70.73957    
   2464.312    	  -856.5174    	   58.52907    	  -915.0464    	   70.88103    
   2451.072    	  -859.0654    	   58.21413    	  -917.2795    	   70.76752    
   2452.814    	  -860.3501    	   58.25599    	  -918.6061    	   70.71078    
   2445.130    	  -860.3134    	   58.07348    	  -918.3869    	   70.58339    
   2437.960    	  -859.5272    	   57.90273    	  -917.4299    	   70.78121    
   2433.877    	  -862.7637    	   57.80574    	  -920.5695    	   70.54064    
   2432.030    	  -860.2830    	   57.76236    	  -918.0453    	   70.68164    
   2423.335    	  -863.3861    	   57.55538    	  -920.9415    	   70.52608    
   2419.329    	  -863.4064    	   57.46022    	  -920.8666    	   70.56824    
   2420.891    	  -862.1627    	   57.49780    	  -919.6605    	   70.61047    
   2410.702    	  -864.6548    	   57.25580    	  -921.9106    	   70.66673    
   2410.479    	  -863.2485    	   57.25051    	  -920.4990    	   70.53946    
   2402.971    	  -862.9106    	   57.07219    	  -919.9828    	   70.72291    
   2395.857    	  -862.2484    	   56.90323    	  -919.1517    	   70.66615    
   2390.515    	  -864.8580    	   56.77635    	  -921.6344    	   70.70846    
   2389.845    	  -864.6602    	   56.76043    	  -921.4207    	   70.48233    
   2378.984    	  -863.1872    	   56.50200    	  -919.6892    	   70.65157    
   2370.291    	  -865.6799    	   56.29555    	  -921.9754    	   70.62314    
