 i:	h421:	h552:	h422:	h332:	h433:
        3415	           0	           0	           1	           0	           0
        3416	           0	           4	           2	           0	           0
        3417	           1	           2	           0	           0	           0
        3418	           0	           3	           1	           0	           0
        3419	           0	           5	           0	           0	           0
        3420	           1	           2	           4	           0	           0
        3421	           0	           2	           2	           0	           0
        3422	           2	           0	           1	           0	           0
        3423	           0	           0	           1	           0	           0
        3424	           2	           3	           1	           0	           0
        3425	           0	           0	           1	           0	           0
        3426	           0	           1	           0	           0	           0
        3427	           0	           0	           1	           0	           0
        3428	           1	           0	           1	           0	           0
        3429	           0	           1	           2	           0	           0
        3430	           0	           2	           0	           0	           0
        3431	           0	           4	           0	           0	           0
        3432	           0	           1	           1	           0	           0
        3433	           1	           1	           0	           0	           0
        3434	           2	           1	           2	           0	           0
        3435	           0	           5	           2	           0	           0
        3436	           0	           0	           3	           0	           0
        3437	           5	           0	           3	           0	           0
        3438	           0	           4	           0	           0	           0
        3439	           0	           3	           0	           0	           0
        3440	           0	           4	           0	           0	           0
        3441	           2	           1	           0	           0	           0
        3442	           1	           0	           1	           0	           0
        3443	           0	           2	           0	           0	           0
        3444	           0	           1	           2	           0	           0
        3445	           0	           2	           0	           0	           0
        3446	           0	           0	           0	           0	           0
        3447	           0	           3	           0	           0	           0
        3448	           0	           1	           4	           0	           0
        3449	           0	           0	           0	           0	           0
        3450	           1	           2	           1	           0	           0
        3451	           1	           0	           0	           0	           0
        3452	           0	           5	           0	           0	           0
        3453	           1	           0	           2	           0	           0
        3454	           0	           5	           0	           1	           0
        3455	           0	           1	           0	           1	           0
        3456	           0	           1	           1	           0	           0
        3457	           1	           0	           1	           0	           0
        3458	           0	           0	           2	           0	           0
        3459	           0	           1	           2	           0	           0
        3460	           0	           0	           0	           0	           0
        3461	           0	           0	           0	           0	           0
        3462	           0	           0	           2	           0	           0
        3463	           1	           0	           3	           1	           0
        3464	           1	           0	           2	           0	           0
        3465	           0	           0	           1	           0	           0
        3466	           0	           1	           4	           0	           0
        3467	           0	           2	           0	           0	           0
        3468	           0	           4	           2	           0	           0
        3469	           2	           0	           0	           0	           0
        3470	           0	           0	           0	           0	           0
        3471	           0	           2	           0	           0	           0
        3472	           0	           1	           0	           0	           0
        3473	           0	           8	           0	           0	           0
        3474	           1	           2	           0	           0	           0
        3475	           1	           1	           0	           0	           0
        3476	           1	           1	           1	           0	           0
        3477	           0	           0	           2	           0	           0
        3478	           0	           5	           0	           0	           0
        3479	           0	           3	           0	           0	           0
        3480	           1	           0	           2	           0	           0
        3481	           1	           4	           0	           0	           0
        3482	           1	           0	           0	           0	           0
        3483	           0	           1	           0	           0	           0
        3484	           0	           5	           0	           0	           0
        3485	           1	           2	           2	           0	           0
        3486	           1	           5	           0	           0	           0
        3487	           2	           1	           0	           0	           0
        3488	           0	           4	           0	           0	           0
        3489	           0	           3	           0	           0	           0
        3490	           4	           0	           0	           0	           0
        3491	           1	           1	           0	           0	           0
        3492	           0	           3	           0	           0	           0
        3493	           1	           2	           1	           0	           0
        3494	           0	           2	           4	           0	           0
        3495	           2	           2	           0	           0	           0
        3496	           0	           2	           1	           0	           0
        3497	           0	           1	           0	           0	           0
        3498	           0	           6	           2	           0	           0
        3499	           0	           1	           1	           0	           0
        3500	           0	           2	           0	           0	           0
        3501	           0	           0	           1	           0	           0
        3502	           0	           3	           0	           0	           0
        3503	           0	           0	           0	           0	           0
        3504	           1	           0	           4	           0	           0
        3505	           1	           2	           0	           1	           0
        3506	           0	           4	           1	           0	           0
        3507	           0	           1	           1	           1	           0
        3508	           0	           1	           0	           0	           0
        3509	           0	           5	           1	           0	           0
        3510	           0	           0	           1	           0	           0
        3511	           0	           1	           1	           0	           0
        3512	           0	           4	           0	           0	           0
        3513	           1	           2	           2	           0	           0
        3514	           1	           0	           3	           0	           0
        3515	           2	           1	           2	           0	           0
        3516	           0	           3	           0	           0	           0
        3517	           1	           1	           1	           0	           0
        3518	           1	           0	           0	           0	           0
        3519	           1	           2	           4	           0	           0
        3520	           1	           1	           0	           0	           0
        3521	           0	           4	           0	           0	           0
        3522	           0	           1	           0	           0	           0
        3523	           2	           0	           4	           0	           0
        3524	           0	           1	           0	           0	           0
        3525	           1	           4	           2	           0	           0
        3526	           0	           1	           1	           0	           0
        3527	           0	           3	           1	           0	           0
        3528	           0	           3	           2	           0	           0
        3529	           0	           4	           0	           0	           0
        3530	           0	           2	           2	           0	           0
        3531	           0	           6	           0	           0	           0
        3532	           1	           1	           0	           1	           0
        3533	           1	           1	           0	           1	           0
        3534	           0	           3	           0	           0	           0
        3535	           1	           0	           1	           0	           0
        3536	           0	           2	           3	           0	           0
        3537	           0	           4	           1	           0	           0
        3538	           0	           1	           1	           0	           0
        3539	           0	           3	           2	           0	           0
        3540	           1	           3	           0	           0	           0
        3541	           1	           3	           0	           0	           0
        3542	           0	           1	           1	           0	           0
        3543	           0	           0	           3	           0	           0
        3544	           0	           1	           0	           0	           0
        3545	           0	           5	           0	           0	           0
        3546	           1	           1	           3	           0	           0
        3547	           0	           0	           2	           0	           0
        3548	           0	           3	           2	           0	           0
        3549	           0	           1	           0	           0	           0
        3550	           0	           0	           0	           0	           0
        3551	           0	           0	           1	           0	           0
        3552	           0	           3	           0	           0	           0
        3553	           1	           0	           1	           0	           0
        3554	           0	           3	           0	           0	           0
        3555	           0	           0	           1	           0	           0
        3556	           2	           0	           1	           0	           0
        3557	           0	           0	           0	           0	           0
        3558	           1	           2	           1	           0	           0
        3559	           1	           0	           0	           0	           0
        3560	           1	           0	           4	           0	           0
        3561	           0	           0	           1	           0	           0
        3562	           0	           3	           1	           0	           0
        3563	           0	           0	           1	           0	           0
        3564	           0	           4	           0	           0	           0
        3565	           0	           8	           0	           0	           0
        3566	           1	           1	           0	           0	           0
        3567	           2	           1	           0	           0	           0
        3568	           0	           3	           0	           0	           0
        3569	           0	           1	           0	           0	           0
        3570	           0	           4	           1	           0	           0
        3571	           1	           0	           5	           0	           0
        3572	           0	          10	           0	           0	           0
        3573	           0	           1	           0	           0	           0
        3574	           0	           3	           0	           0	           0
        3575	           2	           2	           0	           0	           0
        3576	           1	           1	           2	           0	           0
        3577	           1	           5	           0	           0	           0
        3578	           0	           5	           1	           0	           0
        3579	           0	           3	           0	           0	           0
        3580	           0	           6	           2	           0	           0
        3581	           0	           3	           0	           0	           0
        3582	           0	           1	           0	           1	           0
        3583	           1	           3	           0	           0	           0
        3584	           1	           1	           0	           0	           0
        3585	           4	           0	           4	           0	           0
        3586	           0	           0	           1	           0	           0
        3587	           0	           6	           0	           0	           0
        3588	           0	           4	           0	           0	           0
        3589	           0	           8	           0	           0	           0
        3590	           2	           0	           0	           0	           0
        3591	           0	           1	           0	           0	           0
        3592	           0	           1	           2	           0	           0
        3593	           0	           4	           0	           0	           0
        3594	           0	           1	           0	           0	           0
        3595	           0	           0	           0	           0	           0
        3596	           0	           0	           1	           0	           0
        3597	           0	           3	           2	           0	           0
        3598	           0	           3	           0	           0	           0
        3599	           0	           6	           0	           0	           0
        3600	           0	           1	           0	           0	           0
        3601	           0	           2	           2	           0	           0
        3602	           0	           1	           0	           0	           0
        3603	           1	           4	           0	           0	           0
        3604	           1	           1	           0	           0	           0
        3605	           3	           0	           2	           0	           0
        3606	           1	           0	           0	           1	           0
        3607	           3	           0	           0	           0	           0
        3608	           1	           1	           2	           0	           0
        3609	           0	           6	           0	           1	           0
        3610	           0	           5	           1	           0	           0
        3611	           0	           1	           1	           0	           0
        3612	           1	           0	           1	           0	           0
        3613	           1	           0	           4	           0	           0
        3614	           0	           0	           2	           0	           0
        3615	           0	           3	           0	           1	           0
        3616	           0	           6	           0	           0	           0
        3617	           1	           0	           2	           0	           0
        3618	           0	           4	           0	           0	           0
        3619	           0	           1	           2	           0	           0
        3620	           0	           0	           0	           0	           0
        3621	           0	           2	           0	           0	           0
        3622	           0	           3	           0	           0	           0
        3623	           0	           4	           0	           0	           0
        3624	           1	           2	           1	           0	           0
        3625	           1	           2	           0	           0	           0
        3626	           0	           1	           1	           0	           0
        3627	           1	           1	           0	           0	           0
        3628	           0	           1	           2	           0	           0
        3629	           0	           5	           0	           0	           0
        3630	           1	           0	           0	           1	           0
        3631	           1	           0	           2	           0	           0
        3632	           0	           1	           0	           1	           0
        3633	           0	           4	           0	           0	           0
        3634	           0	           3	           0	           0	           0
        3635	           0	           5	           0	           0	           0
        3636	           1	           2	           2	           0	           0
        3637	           0	           1	           4	           0	           0
        3638	           0	           1	           1	           0	           0
        3639	           0	           3	           0	           0	           0
        3640	           0	           5	           2	           0	           0
        3641	           0	           5	           0	           0	           0
        3642	           0	           3	           1	           0	           0
        3643	           0	           3	           0	           0	           0
        3644	           0	           0	           2	           0	           0
        3645	           1	           2	           0	           0	           0
        3646	           0	           0	           3	           0	           0
        3647	           0	           0	           2	           0	           0
        3648	           0	           4	           0	           0	           0
        3649	           1	           1	           0	           0	           0
        3650	           0	           1	           0	           0	           0
        3651	           0	           5	           0	           0	           0
        3652	           0	           3	           0	           0	           0
        3653	           0	           3	           0	           0	           0
        3654	           0	           3	           0	           0	           0
        3655	           0	           2	           1	           0	           0
        3656	           0	           2	           0	           1	           0
        3657	           7	           0	           1	           0	           0
        3658	           0	           1	           3	           0	           0
        3659	           1	           1	           2	           0	           0
        3660	           4	           0	           1	           0	           0
        3661	           0	           3	           0	           0	           0
        3662	           0	           2	           2	           0	           0
        3663	           0	           1	           1	           0	           0
        3664	           0	           0	           3	           0	           0
        3665	           2	           3	           0	           0	           0
        3666	           0	           2	           0	           0	           0
        3667	           0	           3	           0	           1	           0
        3668	           1	           2	           2	           0	           0
        3669	           2	           2	           2	           0	           0
        3670	           0	           1	           2	           0	           0
        3671	           0	           1	           0	           0	           0
        3672	           0	           1	           3	           0	           0
        3673	           0	           0	           1	           0	           0
        3674	           0	           0	           0	           0	           0
        3675	           0	           2	           0	           0	           0
        3676	           3	           0	           1	           0	           0
        3677	           1	           0	           0	           0	           0
        3678	           0	           1	           1	           1	           0
        3679	           0	           3	           0	           0	           0
        3680	           0	           1	           0	           0	           0
        3681	           1	           0	           5	           0	           0
        3682	           0	           2	           0	           0	           0
        3683	           0	           4	           2	           0	           0
        3684	           0	           0	           0	           0	           0
        3685	           0	           3	           0	           0	           0
        3686	           0	           1	           0	           0	           0
        3687	           0	           2	           0	           0	           0
        3688	           0	           1	           1	           0	           0
        3689	           0	          10	           0	           0	           0
        3690	           0	           3	           0	           0	           0
        3691	           3	           1	           0	           0	           0
        3692	           0	           2	           0	           0	           0
        3693	           2	           0	           2	           0	           0
        3694	           1	           1	           1	           0	           0
        3695	           1	           1	           0	           0	           0
        3696	           0	           3	           0	           0	           0
        3697	           0	           1	           0	           1	           0
        3698	           0	           3	           0	           0	           0
        3699	           0	           3	           1	           0	           0
        3700	           0	           0	           3	           0	           0
        3701	           0	           1	           0	           0	           0
        3702	           0	           2	           0	           0	           0
        3703	           0	           2	           0	           0	           0
        3704	           1	           0	           0	           1	           0
        3705	           0	           2	           0	           1	           0
        3706	           0	           3	           1	           1	           0
        3707	           2	           3	           0	           0	           0
        3708	           0	           2	           1	           0	           0
        3709	           0	           2	           0	           1	           0
        3710	           2	           0	           2	           0	           0
        3711	           1	           2	           0	           0	           0
        3712	           4	           0	           1	           0	           0
        3713	           1	           2	           0	           0	           0
        3714	           0	           2	           2	           0	           0
        3715	           0	           1	           0	           0	           0
        3716	           0	           1	           2	           0	           0
        3717	           0	           1	           1	           0	           0
        3718	           0	           6	           0	           0	           0
        3719	           1	           0	           1	           0	           0
        3720	           0	           1	           3	           0	           0
        3721	           0	           3	           0	           0	           0
        3722	           0	           4	           2	           0	           0
        3723	           0	           0	           0	           1	           0
        3724	           0	           3	           0	           0	           0
        3725	           1	           1	           0	           0	           0
        3726	           0	           0	           2	           0	           0
        3727	           0	           4	           1	           0	           0
        3728	           1	           0	           0	           0	           0
        3729	           0	           0	           0	           0	           0
        3730	           0	           3	           1	           0	           0
        3731	           1	           2	           0	           0	           0
        3732	           0	           1	           0	           0	           0
        3733	           0	           2	           0	           0	           0
        3734	           1	           2	           0	           0	           0
        3735	           0	           1	           2	           0	           0
        3736	           0	           0	           1	           0	           0
        3737	           0	           4	           0	           0	           0
        3738	           1	           0	           5	           0	           0
        3739	           0	           0	           2	           0	           0
        3740	           0	           1	           0	           0	           0
        3741	           0	           5	           0	           0	           0
        3742	           1	           5	           0	           0	           0
        3743	           1	           3	           1	           0	           0
        3744	           1	           3	           1	           0	           0
        3745	           0	           3	           0	           0	           0
        3746	           0	           1	           0	           0	           0
        3747	           0	           2	           0	           0	           0
        3748	           0	           1	           1	           0	           0
        3749	           0	           4	           0	           0	           0
        3750	           0	           3	           0	           0	           0
        3751	           0	           2	           1	           0	           0
        3752	           0	           2	           1	           0	           0
        3753	           0	           2	           1	           0	           0
        3754	           0	           4	           0	           0	           0
        3755	           0	           3	           2	           0	           0
        3756	           0	           1	           0	           0	           0
        3757	           0	           6	           0	           0	           0
        3758	           1	           1	           1	           0	           0
        3759	           0	           2	           0	           0	           0
        3760	           0	           3	           0	           0	           0
        3761	           0	           2	           0	           0	           0
        3762	           0	           1	           1	           0	           0
        3763	           0	           2	           1	           0	           0
        3764	           0	           0	           0	           0	           0
        3765	           0	           3	           0	           0	           0
        3766	           0	           2	           0	           0	           0
        3767	           0	           1	           1	           0	           0
        3768	           1	           3	           2	           0	           0
        3769	           1	           0	           0	           2	           0
        3770	           0	           5	           0	           0	           0
        3771	           0	           7	           0	           1	           0
        3772	           0	           3	           0	           0	           0
        3773	           1	           0	           0	           0	           0
        3774	           0	           1	           0	           0	           0
        3775	           0	           2	           1	           0	           0
        3776	           0	           2	           0	           0	           0
        3777	           0	           0	           0	           0	           0
        3778	           0	           1	           0	           0	           0
        3779	           0	           2	           2	           0	           0
        3780	           4	           0	           1	           0	           0
        3781	           0	           3	           0	           0	           0
        3782	           0	           7	           0	           0	           0
        3783	           0	           5	           3	           0	           0
        3784	           1	           0	           3	           0	           0
        3785	           1	           4	           1	           0	           0
        3786	           0	           1	           1	           0	           0
        3787	           1	           1	           0	           0	           0
        3788	           0	           1	           1	           0	           0
        3789	           1	           2	           4	           0	           0
        3790	           0	           5	           0	           0	           0
        3791	           0	           5	           0	           0	           0
        3792	           0	           0	           3	           0	           0
        3793	           0	           2	           0	           0	           0
        3794	           0	           3	           0	           1	           0
        3795	           0	           7	           0	           0	           0
        3796	           0	           1	           0	           0	           0
        3797	           0	           3	           0	           0	           0
        3798	           1	           3	           0	           0	           0
        3799	           0	           0	           1	           0	           0
        3800	           0	           5	           0	           0	           0
        3801	           1	           2	           0	           0	           0
        3802	           1	           1	           4	           0	           0
        3803	           1	           1	           6	           0	           0
        3804	           0	           2	           3	           0	           0
        3805	           0	           2	           0	           0	           0
        3806	           0	           7	           0	           0	           0
        3807	           0	           7	           0	           0	           0
        3808	           0	           2	           0	           0	           0
        3809	           0	           1	           3	           0	           0
        3810	           2	           0	           0	           0	           0
        3811	           0	           1	           1	           0	           0
        3812	           0	           4	           0	           0	           0
        3813	           3	           0	           3	           0	           0
        3814	           1	           2	           2	           0	           0
        3815	           1	           1	           2	           0	           0
        3816	           0	           1	           0	           2	           0
        3817	           0	           4	           0	           0	           0
        3818	           0	           1	           2	           0	           0
        3819	           0	           0	           0	           0	           0
        3820	           0	           4	           1	           0	           0
        3821	           0	           7	           0	           0	           0
        3822	           1	           0	           0	           0	           0
        3823	           0	           1	           1	           0	           0
        3824	           0	           2	           2	           0	           0
        3825	           0	           3	           0	           0	           0
        3826	           0	           0	           0	           0	           0
        3827	           0	           1	           3	           0	           0
        3828	           0	           0	           0	           0	           0
        3829	           0	           2	           0	           0	           0
        3830	           0	           0	           3	           0	           0
        3831	           1	           5	           0	           0	           0
        3832	           0	           0	           2	           0	           0
        3833	           0	           1	           2	           0	           0
        3834	           1	           1	           0	           0	           0
        3835	           0	           4	           0	           0	           0
        3836	           2	           1	           1	           0	           0
        3837	           1	           3	           0	           0	           0
        3838	           0	           0	           1	           1	           0
        3839	           2	           0	           1	           0	           0
        3840	           0	           2	           2	           0	           0
        3841	           0	           1	           0	           0	           0
        3842	           0	           2	           0	           0	           0
        3843	           2	           1	           4	           0	           0
        3844	           1	           0	           1	           0	           0
        3845	           0	           0	           0	           0	           0
        3846	           0	           1	           1	           0	           0
        3847	           2	           0	           2	           0	           0
        3848	           1	           0	           0	           0	           0
        3849	           0	           3	           0	           1	           0
        3850	           1	           1	           0	           0	           0
        3851	           0	           1	           0	           0	           0
        3852	           0	           1	           2	           0	           0
        3853	           1	           1	           2	           0	           0
        3854	           2	           0	           2	           0	           0
        3855	           0	           3	           1	           0	           0
        3856	           2	           0	           0	           0	           0
        3857	           2	           1	           1	           0	           0
        3858	           0	           1	           0	           1	           0
        3859	           0	           3	           0	           0	           0
        3860	           0	           2	           0	           0	           0
        3861	           0	           4	           0	           0	           0
        3862	           0	           1	           3	           0	           0
        3863	           0	           0	           0	           0	           0
        3864	           1	           3	           0	           0	           0
        3865	           0	           0	           4	           0	           0
        3866	           0	           0	           1	           1	           0
        3867	           0	           2	           0	           0	           0
        3868	           0	           3	           0	           0	           0
        3869	           1	           1	           1	           0	           0
        3870	           0	           0	           0	           0	           0
        3871	           0	           6	           0	           0	           0
        3872	           0	           5	           0	           0	           0
        3873	           0	           0	           0	           0	           0
        3874	           0	           3	           0	           1	           0
        3875	           2	           0	           5	           0	           0
        3876	           1	           3	           0	           0	           0
        3877	           0	           0	           0	           0	           0
        3878	           0	           2	           1	           0	           0
        3879	           0	           2	           0	           0	           0
        3880	           1	           0	           2	           0	           0
        3881	           1	           1	           1	           0	           0
        3882	           0	           1	           0	           0	           0
        3883	           1	           0	           2	           0	           0
        3884	           1	           0	           2	           0	           0
        3885	           0	           1	           1	           0	           0
        3886	           0	           4	           1	           0	           0
        3887	           0	           1	           2	           0	           0
        3888	           0	           3	           0	           0	           0
        3889	           0	           6	           0	           0	           0
        3890	           0	           1	           1	           0	           0
        3891	           0	           0	           1	           0	           0
        3892	           1	           2	           1	           0	           0
        3893	           0	           0	           1	           0	           0
        3894	           2	           3	           1	           0	           0
        3895	           0	           2	           1	           0	           0
        3896	           0	           0	           3	           0	           0
        3897	           0	           5	           0	           0	           0
        3898	           1	           1	           1	           0	           0
        3899	           0	           5	           2	           0	           0
        3900	           0	           1	           3	           0	           0
        3901	           0	           2	           0	           0	           0
        3902	           0	           2	           0	           0	           0
        3903	           0	           0	           2	           0	           0
        3904	           1	           0	           3	           0	           0
        3905	           0	           5	           0	           0	           0
        3906	           0	           8	           0	           0	           0
        3907	           0	           3	           2	           1	           0
        3908	           0	           1	           1	           0	           0
        3909	           0	           3	           0	           0	           0
        3910	           0	           4	           0	           0	           0
        3911	           0	           5	           0	           0	           0
        3912	           0	           3	           0	           1	           0
        3913	           0	           0	           0	           0	           0
        3914	           0	           0	           0	           0	           0
        3915	           2	           0	           5	           0	           0
        3916	           0	           1	           0	           0	           0
        3917	           0	           3	           0	           0	           0
        3918	           0	           0	           1	           0	           0
        3919	           1	           2	           1	           0	           0
        3920	           1	           1	           0	           0	           0
        3921	           1	           0	           3	           0	           0
        3922	           3	           1	           0	           0	           0
        3923	           0	          10	           0	           0	           0
        3924	           0	           4	           1	           0	           0
        3925	           0	           3	           1	           0	           0
        3926	           0	           2	           1	           0	           0
        3927	           0	           5	           0	           1	           0
        3928	           0	           1	           0	           0	           0
        3929	           1	           1	           0	           0	           0
        3930	           0	           0	           0	           0	           0
        3931	           0	           0	           2	           0	           0
        3932	           0	           1	           0	           0	           0
        3933	           0	           1	           0	           0	           0
        3934	           0	           2	           0	           0	           0
        3935	           0	           1	           1	           0	           0
        3936	           1	           0	           0	           0	           0
        3937	           0	           5	           0	           0	           0
        3938	           0	           2	           0	           0	           0
        3939	           0	           2	           0	           0	           0
        3940	           0	           3	           2	           0	           0
        3941	           0	           4	           0	           0	           0
        3942	           0	           1	           0	           0	           0
        3943	           0	           1	           0	           0	           0
        3944	           1	           1	           0	           2	           0
        3945	           0	           3	           2	           0	           0
        3946	           0	           3	           1	           0	           0
        3947	           0	           2	           1	           0	           0
        3948	           0	           4	           1	           0	           0
        3949	           0	           1	           0	           1	           0
        3950	           0	           4	           1	           0	           0
        3951	           0	           1	           3	           0	           0
        3952	           0	           1	           1	           0	           0
        3953	           0	           0	           0	           1	           0
        3954	           0	           3	           1	           0	           0
        3955	           0	           6	           0	           0	           0
        3956	           1	           1	           2	           0	           0
        3957	           0	           1	           1	           0	           0
        3958	           0	           1	           2	           0	           0
        3959	           0	           4	           0	           1	           0
        3960	           0	           2	           0	           0	           0
        3961	           0	           4	           0	           0	           0
        3962	           1	           0	           2	           0	           0
        3963	           0	           0	           0	           0	           0
        3964	           0	           5	           0	           0	           0
        3965	           1	           0	           0	           0	           0
        3966	           0	           2	           3	           0	           0
        3967	           1	           2	           0	           0	           0
        3968	           0	           3	           2	           0	           0
        3969	           1	           3	           0	           1	           0
        3970	           0	           2	           1	           0	           0
        3971	           2	           2	           1	           0	           0
        3972	           0	           1	           1	           0	           0
        3973	           1	           0	           2	           0	           0
        3974	           1	           0	           3	           0	           0
        3975	           0	           3	           0	           0	           0
        3976	           3	           1	           0	           0	           0
        3977	           0	           3	           1	           0	           0
        3978	           0	           2	           1	           0	           0
        3979	           0	           5	           0	           0	           0
        3980	           1	           0	           0	           0	           0
        3981	           1	           0	           0	           0	           0
        3982	           1	           0	           1	           0	           0
        3983	           0	           2	           2	           0	           0
        3984	           1	           1	           1	           0	           0
        3985	           0	           0	           0	           0	           0
        3986	           0	           2	           0	           0	           0
        3987	           1	           3	           2	           0	           0
        3988	           0	           0	           1	           0	           0
        3989	           1	           1	           0	           0	           0
        3990	           0	           2	           0	           0	           0
        3991	           0	           4	           0	           0	           0
