 i:	h421:	h552:	h422:	h332:	h433:
        2221	           0	           0	           0	           1	           0
        2222	           1	           1	           2	           0	           0
        2223	           1	           2	           0	           0	           0
        2224	           1	           0	           2	           0	           0
        2225	           0	           0	           0	           0	           0
        2226	           0	           4	           1	           0	           0
        2227	           0	           5	           0	           0	           0
        2228	           0	           8	           0	           0	           0
        2229	           0	           1	           1	           0	           0
        2230	           0	           0	           0	           0	           0
        2231	           0	           1	           0	           0	           0
        2232	           0	           4	           0	           0	           0
        2233	           1	           2	           0	           0	           0
        2234	           1	           3	           1	           0	           0
        2235	           3	           0	           0	           0	           0
        2236	           1	           3	           0	           0	           0
        2237	           1	           1	           1	           1	           0
        2238	           1	           5	           0	           0	           0
        2239	           0	           4	           0	           0	           0
        2240	           1	           0	           1	           0	           0
        2241	           0	           4	           0	           0	           0
        2242	           1	           2	           0	           0	           0
        2243	           1	           1	           2	           0	           0
        2244	           2	           1	           2	           0	           0
        2245	           1	           1	           0	           0	           0
        2246	           0	           3	           0	           0	           0
        2247	           0	           1	           0	           0	           0
        2248	           1	           1	           0	           0	           0
        2249	           0	           2	           1	           0	           0
        2250	           0	           1	           0	           0	           0
        2251	           0	           4	           0	           0	           0
        2252	           3	           0	           2	           0	           0
        2253	           1	           1	           1	           0	           0
        2254	           0	           0	           2	           0	           0
        2255	           0	           4	           0	           0	           0
        2256	           0	           1	           0	           0	           0
        2257	           0	           0	           0	           0	           0
        2258	           2	           1	           0	           0	           0
        2259	           0	           3	           1	           0	           0
        2260	           0	           1	           0	           0	           0
        2261	           0	           1	           0	           1	           0
        2262	           2	           1	           0	           0	           0
        2263	           1	           1	           0	           0	           0
        2264	           0	           4	           0	           0	           0
        2265	           0	           1	           1	           0	           0
        2266	           5	           0	           0	           0	           0
        2267	           0	           8	           0	           0	           0
        2268	           2	           1	           1	           0	           0
        2269	           0	           1	           1	           0	           0
        2270	           0	           2	           2	           0	           0
        2271	           0	           2	           0	           0	           0
        2272	           0	           2	           2	           0	           0
        2273	           2	           0	           0	           0	           0
        2274	           1	           3	           0	           0	           0
        2275	           2	           0	           2	           0	           0
        2276	           0	           1	           1	           0	           0
        2277	           0	           3	           0	           0	           0
        2278	           0	           2	           1	           0	           0
        2279	           0	           0	           1	           0	           0
        2280	           0	           3	           0	           0	           0
        2281	           0	           1	           0	           0	           0
        2282	           1	           2	           2	           0	           0
        2283	           2	           0	           2	           0	           0
        2284	           0	           3	           0	           0	           0
        2285	           0	           0	           0	           1	           0
        2286	           0	           4	           0	           0	           0
        2287	           3	           0	           1	           0	           0
        2288	           0	           0	           4	           0	           0
        2289	           0	           5	           0	           0	           0
        2290	           0	           0	           2	           0	           0
        2291	           0	           4	           0	           0	           0
        2292	           0	           3	           0	           1	           0
        2293	           0	           4	           0	           0	           0
        2294	           0	           2	           0	           0	           0
        2295	           0	           1	           2	           0	           0
        2296	           2	           0	           0	           1	           0
        2297	           0	           3	           2	           0	           0
        2298	           0	           1	           0	           0	           0
        2299	           0	           2	           0	           0	           0
        2300	           0	           1	           0	           0	           0
        2301	           0	           0	           0	           0	           0
        2302	           0	           0	           0	           1	           0
        2303	           0	           0	           3	           0	           0
        2304	           0	           2	           0	           0	           0
        2305	           0	           0	           0	           0	           0
        2306	           0	           1	           0	           1	           0
        2307	           0	           2	           1	           0	           0
        2308	           1	           1	           0	           0	           0
        2309	           1	           2	           0	           0	           0
        2310	           5	           1	           0	           0	           0
        2311	           0	           5	           0	           0	           0
        2312	           0	           5	           0	           0	           0
        2313	           1	           0	           2	           0	           0
        2314	           0	           1	           2	           0	           0
        2315	           0	           7	           0	           0	           0
        2316	           1	           1	           1	           0	           0
        2317	           0	           6	           0	           0	           0
        2318	           1	           5	           0	           0	           0
        2319	           0	           2	           0	           0	           0
        2320	           0	           3	           0	           0	           0
        2321	           0	           5	           0	           0	           0
        2322	           0	           3	           1	           0	           0
        2323	           0	           5	           0	           0	           0
        2324	           1	           0	           0	           0	           0
        2325	           0	           2	           0	           0	           0
        2326	           0	           7	           0	           0	           0
        2327	           0	           3	           0	           0	           0
        2328	           1	           1	           0	           0	           0
        2329	           0	           2	           3	           0	           0
        2330	           0	           3	           1	           0	           0
        2331	           0	           4	           1	           0	           0
        2332	           1	           3	           0	           0	           0
        2333	           1	           0	           2	           0	           0
        2334	           2	           0	           4	           0	           0
        2335	           3	           2	           0	           0	           0
        2336	           0	           1	           0	           0	           0
        2337	           1	           0	           4	           0	           0
        2338	           0	           3	           0	           0	           0
        2339	           0	           1	           0	           0	           0
        2340	           2	           4	           0	           0	           0
        2341	           0	           1	           4	           0	           0
        2342	           0	           1	           2	           0	           0
        2343	           0	           1	           2	           0	           0
        2344	           2	           0	           0	           0	           0
        2345	           2	           1	           0	           0	           0
        2346	           0	           2	           0	           0	           0
        2347	           1	           0	           2	           0	           0
        2348	           0	           0	           0	           0	           0
        2349	           0	           1	           0	           0	           0
        2350	           0	           8	           0	           0	           0
        2351	           0	           0	           2	           0	           0
        2352	           0	           3	           0	           0	           0
        2353	           0	           0	           0	           0	           0
        2354	           2	           1	           0	           0	           0
        2355	           0	           0	           0	           0	           0
        2356	           0	           4	           0	           0	           0
        2357	           0	           2	           1	           0	           0
        2358	           0	           1	           1	           0	           0
        2359	           0	           2	           0	           1	           0
        2360	           0	           3	           1	           0	           0
        2361	           0	           3	           0	           0	           0
        2362	           0	           1	           0	           0	           0
        2363	           0	           6	           1	           0	           0
        2364	           1	           0	           1	           0	           0
        2365	           0	           2	           0	           0	           0
        2366	           0	           3	           0	           0	           0
        2367	           0	           1	           0	           0	           0
        2368	           0	           1	           2	           0	           0
        2369	           0	           0	           2	           0	           0
        2370	           0	           0	           0	           0	           0
        2371	           0	           1	           0	           0	           0
        2372	           0	           3	           1	           1	           0
        2373	           0	           4	           1	           0	           0
        2374	           0	           2	           0	           0	           0
        2375	           2	           1	           0	           0	           0
        2376	           0	           2	           2	           0	           0
        2377	           0	           2	           3	           0	           0
        2378	           2	           0	           0	           0	           0
        2379	           0	           4	           0	           1	           0
        2380	           1	           2	           0	           0	           0
        2381	           0	           0	           0	           0	           0
        2382	           0	           5	           0	           0	           0
        2383	           3	           0	           0	           0	           0
        2384	           0	           4	           0	           0	           0
        2385	           1	           0	           2	           0	           0
        2386	           1	           0	           2	           1	           0
        2387	           0	           2	           2	           0	           0
        2388	           0	           4	           0	           0	           0
        2389	           1	           3	           0	           0	           0
        2390	           1	           2	           0	           0	           0
        2391	           0	           0	           3	           0	           0
        2392	           1	           3	           0	           0	           0
        2393	           0	           2	           0	           0	           0
        2394	           0	           1	           1	           0	           0
        2395	           0	           1	           0	           0	           0
        2396	           1	           0	           1	           0	           0
        2397	           0	           3	           1	           0	           0
        2398	           0	           4	           0	           0	           0
        2399	           0	           1	           2	           0	           0
        2400	           0	           1	           0	           0	           0
        2401	           0	           4	           0	           0	           0
        2402	           0	           5	           0	           0	           0
        2403	           1	           0	           3	           0	           0
        2404	           0	           1	           0	           1	           0
        2405	           0	           3	           1	           0	           0
        2406	           0	           1	           1	           0	           0
        2407	           0	           2	           0	           0	           0
        2408	           0	           1	           0	           0	           0
        2409	           1	           2	           0	           0	           0
        2410	           0	           4	           0	           0	           0
        2411	           0	           0	           2	           0	           0
        2412	           0	           1	           2	           0	           0
        2413	           1	           0	           2	           0	           0
        2414	           0	           1	           1	           0	           0
        2415	           0	           4	           0	           0	           0
        2416	           0	           1	           1	           0	           0
        2417	           1	           1	           0	           0	           0
        2418	           1	           1	           0	           0	           0
        2419	           2	           1	           3	           0	           0
        2420	           0	           7	           0	           0	           0
        2421	           0	           5	           0	           0	           0
        2422	           0	           1	           1	           0	           0
        2423	           0	           3	           1	           0	           0
        2424	           0	           1	           2	           0	           0
        2425	           0	           1	           1	           0	           0
        2426	           1	           4	           0	           0	           0
        2427	           1	           0	           0	           0	           0
        2428	           0	           4	           0	           0	           0
        2429	           0	           0	           1	           0	           0
        2430	           0	           0	           0	           0	           0
        2431	           0	           9	           0	           0	           0
        2432	           2	           0	           1	           0	           0
        2433	           1	           0	           1	           0	           0
        2434	           0	           2	           1	           0	           0
        2435	           0	           3	           0	           0	           0
        2436	           1	           3	           0	           0	           0
        2437	           0	           2	           0	           0	           0
        2438	           1	           4	           0	           0	           0
        2439	           0	           1	           0	           0	           0
        2440	           2	           1	           1	           0	           0
        2441	           0	           0	           2	           0	           0
        2442	           0	           1	           0	           0	           0
        2443	           0	           4	           0	           0	           0
        2444	           0	           4	           0	           0	           0
        2445	           0	           2	           0	           0	           0
        2446	           1	           2	           0	           0	           0
        2447	           0	           1	           4	           0	           0
        2448	           0	           5	           0	           0	           0
        2449	           0	           2	           1	           0	           0
        2450	           1	           3	           0	           0	           0
        2451	           0	           8	           0	           0	           0
        2452	           0	           7	           0	           0	           0
        2453	           0	           0	           1	           0	           0
        2454	           1	           0	           2	           0	           0
        2455	           0	           0	           0	           0	           0
        2456	           0	           3	           2	           0	           0
        2457	           0	           1	           2	           0	           0
        2458	           0	           1	           3	           0	           0
        2459	           0	           3	           0	           0	           0
        2460	           3	           0	           0	           0	           0
        2461	           1	           0	           0	           0	           0
        2462	           0	           6	           0	           1	           0
        2463	           1	           2	           1	           0	           0
        2464	           2	           0	           3	           0	           0
        2465	           0	           2	           0	           0	           0
        2466	           0	           3	           0	           0	           0
        2467	           0	           1	           0	           1	           0
        2468	           1	           1	           3	           0	           0
        2469	           0	           2	           0	           1	           0
        2470	           0	           2	           1	           0	           0
        2471	           1	           1	           1	           0	           0
        2472	           0	           1	           0	           0	           0
        2473	           0	           3	           1	           0	           0
        2474	           1	           1	           0	           1	           0
        2475	           0	           3	           1	           0	           0
        2476	           0	           3	           0	           0	           0
        2477	           0	           1	           2	           0	           0
        2478	           0	           1	           0	           0	           0
        2479	           0	           5	           0	           0	           0
        2480	           1	           0	           2	           0	           0
        2481	           0	           3	           1	           0	           0
        2482	           1	           2	           0	           0	           0
        2483	           1	           0	           1	           1	           0
        2484	           1	           1	           0	           0	           0
        2485	           0	           0	           0	           0	           0
        2486	           1	           1	           0	           0	           0
        2487	           0	           4	           1	           0	           0
        2488	           2	           1	           3	           0	           0
        2489	           0	           0	           0	           0	           0
        2490	           0	           3	           0	           1	           0
        2491	           0	           4	           0	           0	           0
        2492	           0	           1	           2	           0	           0
        2493	           0	           2	           0	           0	           0
