 Distribution of h552:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           7	  2.3333333E-03
 ico9:	           2	  6.6666666E-04
 ico8:	          21	  7.0000002E-03
 ico7:	          37	  1.2333333E-02
 ico6:	          74	  2.4666667E-02
 ico5:	         154	  5.1333334E-02
 ico4:	         244	  8.1333332E-02
 ico3:	         403	  0.1343333    
 ico2:	         555	  0.1850000    
 ico1:	         762	  0.2540000    
 
 Distribution of h332:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           0	  0.0000000E+00
 ico9:	           0	  0.0000000E+00
 ico8:	           0	  0.0000000E+00
 ico7:	           0	  0.0000000E+00
 ico6:	           0	  0.0000000E+00
 ico5:	           0	  0.0000000E+00
 ico4:	           0	  0.0000000E+00
 ico3:	           0	  0.0000000E+00
 ico2:	          10	  3.3333334E-03
 ico1:	         208	  6.9333330E-02
 
 i:	h552:	h332:	neib:
        2379	           4	           1	          12
        2380	           2	           0	          13
        2381	           0	           0	          12
        2382	           5	           0	          14
        2383	           0	           0	          13
        2384	           4	           0	          14
        2385	           0	           0	          11
        2386	           0	           1	          13
        2387	           2	           0	          13
        2388	           4	           0	          13
        2389	           3	           0	          12
        2390	           2	           0	          13
        2391	           0	           0	          13
        2392	           3	           0	          13
        2393	           2	           0	          14
        2394	           1	           0	          10
        2395	           1	           0	          12
        2396	           0	           0	          11
        2397	           3	           0	          14
        2398	           4	           0	          12
        2399	           1	           0	          13
        2400	           1	           0	          14
        2401	           4	           0	          14
        2402	           5	           0	          16
        2403	           0	           0	          14
        2404	           1	           1	          12
        2405	           3	           0	          12
        2406	           1	           0	          14
        2407	           2	           0	          13
        2408	           1	           0	          13
        2409	           2	           0	          12
        2410	           4	           0	          12
        2411	           0	           0	          14
        2412	           1	           0	          12
        2413	           0	           0	          12
        2414	           1	           0	          13
        2415	           4	           0	          13
        2416	           1	           0	          14
        2417	           1	           0	          14
        2418	           1	           0	          12
        2419	           1	           0	          13
        2420	           7	           0	          14
        2421	           5	           0	          14
        2422	           1	           0	          14
        2423	           3	           0	          15
        2424	           1	           0	          12
        2425	           1	           0	          13
        2426	           4	           0	          15
        2427	           0	           0	          12
        2428	           4	           0	          14
        2429	           0	           0	          13
        2430	           0	           0	          14
        2431	           9	           0	          15
        2432	           0	           0	          13
        2433	           0	           0	          13
        2434	           2	           0	          13
        2435	           3	           0	          14
        2436	           3	           0	          14
        2437	           2	           0	          12
        2438	           4	           0	          13
        2439	           1	           0	          15
        2440	           1	           0	          13
        2441	           0	           0	          14
        2442	           1	           0	          13
        2443	           4	           0	          12
        2444	           4	           0	          13
        2445	           2	           0	          13
        2446	           2	           0	          12
        2447	           1	           0	          13
        2448	           5	           0	          13
        2449	           2	           0	          13
        2450	           3	           0	          12
        2451	           8	           0	          12
        2452	           7	           0	          13
        2453	           0	           0	          13
        2454	           0	           0	          14
        2455	           0	           0	          13
        2456	           3	           0	          13
        2457	           1	           0	          13
        2458	           1	           0	          13
        2459	           3	           0	          14
        2460	           0	           0	          13
        2461	           0	           0	          13
        2462	           6	           1	          15
        2463	           2	           0	          14
        2464	           0	           0	          10
        2465	           2	           0	          15
        2466	           3	           0	          16
        2467	           1	           1	          13
        2468	           1	           0	          13
        2469	           2	           1	          14
        2470	           2	           0	          12
        2471	           1	           0	          15
        2472	           1	           0	          15
        2473	           3	           0	          14
        2474	           1	           1	          12
        2475	           3	           0	          13
        2476	           3	           0	          12
        2477	           1	           0	          13
        2478	           1	           0	          13
        2479	           5	           0	          12
        2480	           0	           0	          12
        2481	           3	           0	          13
        2482	           2	           0	          15
        2483	           0	           1	          12
        2484	           1	           0	          12
        2485	           0	           0	          14
        2486	           1	           0	          11
        2487	           4	           0	          11
        2488	           1	           0	          12
        2489	           0	           0	          15
        2490	           3	           1	          13
        2491	           4	           0	          15
        2492	           1	           0	          14
        2493	           2	           0	          13
        2494	           4	           0	          14
        2495	           0	           1	          12
        2496	           3	           0	          14
        2497	           1	           0	          14
        2498	           2	           0	          12
        2499	           5	           0	          14
        2500	           5	           1	          12
        2501	           3	           0	          13
        2502	           4	           0	          13
        2503	           1	           1	          13
        2504	           2	           0	          13
        2505	          10	           0	          14
        2506	           0	           0	          13
        2507	           7	           0	          13
        2508	           5	           0	          14
        2509	           6	           0	          13
        2510	           2	           1	          14
        2511	           4	           0	          13
        2512	           1	           0	          10
        2513	           5	           0	          14
        2514	           0	           0	          12
        2515	           0	           0	          12
        2516	           1	           0	          13
        2517	           1	           0	          13
        2518	           3	           0	          14
        2519	           4	           0	          13
        2520	           2	           0	          14
        2521	           1	           1	          14
        2522	           3	           0	          14
        2523	           2	           0	          13
        2524	           3	           0	          11
        2525	           3	           0	          13
        2526	           0	           0	          13
        2527	           0	           0	          12
        2528	           2	           0	          13
        2529	           2	           1	          12
        2530	           3	           0	          15
        2531	           4	           0	          14
        2532	           8	           0	          12
        2533	           1	           0	          14
        2534	           4	           0	          14
        2535	           1	           0	          14
        2536	           7	           0	          13
        2537	           1	           0	          13
        2538	           6	           0	          14
        2539	           2	           0	          13
        2540	           2	           0	          12
        2541	           0	           0	          12
        2542	           0	           0	          10
        2543	           5	           0	          13
        2544	           0	           0	          12
        2545	           0	           0	          14
        2546	           2	           0	          14
        2547	           3	           0	          13
        2548	           0	           0	          12
        2549	           5	           0	          14
        2550	           5	           0	          12
        2551	           2	           1	          13
        2552	           1	           0	          13
        2553	           1	           0	          14
        2554	           2	           0	          13
        2555	           0	           0	          13
        2556	           2	           0	          13
        2557	           2	           0	          13
        2558	           4	           0	          11
        2559	           0	           0	          13
        2560	           2	           0	          14
        2561	           1	           0	          13
        2562	           6	           0	          14
        2563	           2	           0	          14
        2564	           2	           0	          13
        2565	           1	           0	          12
        2566	           1	           0	          13
        2567	           1	           0	          12
        2568	           0	           0	          12
        2569	           0	           0	          13
        2570	           0	           0	          14
        2571	           2	           0	          13
        2572	           1	           0	          13
        2573	           1	           0	          15
        2574	           4	           1	          14
        2575	           2	           0	          15
        2576	           0	           1	          12
        2577	           4	           0	          11
        2578	           1	           0	          14
        2579	           0	           0	          14
        2580	           1	           0	          13
        2581	           0	           0	          13
        2582	           0	           0	          12
        2583	           3	           0	          13
        2584	           3	           0	          13
        2585	           2	           1	          14
        2586	           5	           0	          11
        2587	           4	           0	          13
        2588	           2	           0	          13
        2589	           0	           0	          16
        2590	           2	           0	          14
        2591	           4	           0	          13
        2592	           2	           0	          14
        2593	           2	           0	          11
        2594	           1	           0	          14
        2595	           2	           0	          14
        2596	           3	           0	          14
        2597	           2	           0	          11
        2598	           0	           0	          12
        2599	           3	           0	          15
        2600	           2	           0	          13
        2601	           0	           0	          12
        2602	           5	           0	          14
        2603	           1	           0	          14
        2604	           0	           1	          13
        2605	           2	           0	          12
        2606	           1	           0	          13
        2607	           4	           0	          15
        2608	           0	           1	          13
        2609	           1	           0	          13
        2610	           3	           0	          11
        2611	           0	           0	          13
        2612	           6	           0	          13
