 temp:	  etot:	  ekin:	  epot:
   2994.726    	  -826.3929    	   71.12624    	  -897.5191    	   67.69555    
   3010.499    	  -825.2353    	   71.50133    	  -896.7366    	   67.74947    
   3003.095    	  -823.4756    	   71.32549    	  -894.8011    	   67.80350    
   3008.347    	  -827.1304    	   71.45022    	  -898.5806    	   67.72204    
   3009.216    	  -824.7479    	   71.47086    	  -896.2188    	   67.77598    
   3001.692    	  -826.0307    	   71.29216    	  -897.3229    	   67.72157    
   3000.363    	  -824.3212    	   71.26060    	  -895.5818    	   67.74847    
   2999.716    	  -824.3154    	   71.24475    	  -895.5602    	   67.72113    
   2994.603    	  -826.4404    	   71.12331    	  -897.5637    	   67.68038    
   3009.051    	  -827.0193    	   71.46693    	  -898.4862    	   67.69373    
   2993.789    	  -825.7031    	   71.10397    	  -896.8071    	   67.66650    
   3009.464    	  -825.3229    	   71.47675    	  -896.7996    	   67.66626    
   2997.358    	  -826.1074    	   71.18876    	  -897.2961    	   67.76088    
   3006.435    	  -823.8958    	   71.40479    	  -895.3005    	   67.76067    
   3004.626    	  -825.3551    	   71.36185    	  -896.7170    	   67.77402    
   3002.029    	  -823.6240    	   71.30017    	  -894.9241    	   67.69256    
   3005.493    	  -824.9870    	   71.38242    	  -896.3694    	   67.71947    
   2992.101    	  -824.3933    	   71.06390    	  -895.4572    	   67.75993    
   3002.796    	  -826.5112    	   71.31837    	  -897.8295    	   67.70559    
   2998.599    	  -824.4303    	   71.21823    	  -895.6486    	   67.69193    
   2997.174    	  -824.6463    	   71.18438    	  -895.8307    	   67.66474    
   2997.381    	  -825.2654    	   71.18929    	  -896.4547    	   67.67802    
   2998.427    	  -824.2367    	   71.21415    	  -895.4509    	   67.75915    
   3003.073    	  -825.7416    	   71.32495    	  -897.0666    	   67.67776    
   2995.669    	  -824.2323    	   71.14862    	  -895.3809    	   67.69100    
   3003.521    	  -825.4660    	   71.33559    	  -896.8016    	   67.71789    
   2993.025    	  -824.1234    	   71.08583    	  -895.2092    	   67.69068    
   3000.924    	  -826.1644    	   71.27390    	  -897.4383    	   67.70399    
   2997.567    	  -827.2195    	   71.19370    	  -898.4133    	   67.67677    
   2998.417    	  -824.6840    	   71.21390    	  -895.8979    	   67.66305    
   2995.161    	  -824.6848    	   71.13656    	  -895.8213    	   67.71709    
   3003.558    	  -825.5249    	   71.33646    	  -896.8614    	   67.71687    
   3002.460    	  -825.1362    	   71.31041    	  -896.4466    	   67.70318    
   2998.371    	  -824.8166    	   71.21281    	  -896.0294    	   67.73016    
   3001.936    	  -824.1860    	   71.29794    	  -895.4839    	   67.74352    
